"Name","ID","Date","Time","Location","X","X.1","Latitude","Longitude","Temperature","X.2","Speed","Power","TidFix","nSats","nAlt","fHDOP","nActivity","datetime","Sex","Patch.ID","region","spp"
"T3HS-7351",300434066985790,2023-03-11,"00:00","//maps.google.com/maps?q=57.146743333333,-2.337213333333",NA,NA,57.146743,-2.337213,NA,NA,0,"3 V",30,10,NA,NA,";",2023-03-11 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-11,"06:00","//maps.google.com/maps?q=57.144193333333,-2.338466666667",NA,NA,57.144193,-2.338467,NA,NA,0,"3 V",30,8,NA,NA,";",2023-03-11 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-11,"12:00","//maps.google.com/maps?q=57.144576666667,-2.343353333333",NA,NA,57.144577,-2.343353,NA,NA,0,"3 V",41,14,NA,NA,";",2023-03-11 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-11,"18:00","//maps.google.com/maps?q=57.143733333333,-2.344466666667",NA,NA,57.143733,-2.344467,NA,NA,0,"3 V",51,8,NA,NA,";",2023-03-11 18:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-12,"00:00","//maps.google.com/maps?q=57.143378333333,-2.337670000000",NA,NA,57.143378,-2.33767,NA,NA,0,"3 V",30,8,NA,NA,";",2023-03-12 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-12,"06:00","//maps.google.com/maps?q=57.144756666667,-2.340301666667",NA,NA,57.144757,-2.340302,NA,NA,0,"3 V",41,13,NA,NA,";",2023-03-12 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-12,"09:57","//maps.google.com/maps?q=57.142586666667,-2.342596666667",NA,NA,57.142587,-2.342597,NA,NA,0,"3 V",30,7,NA,NA,";",2023-03-12 09:57:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-12,"10:14","//maps.google.com/maps?q=57.142555000000,-2.342573333333",NA,NA,57.142555,-2.342573,NA,NA,0,"3 V",30,12,NA,NA,";",2023-03-12 10:14:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-12,"10:29","//maps.google.com/maps?q=57.142685000000,-2.342678333333",NA,NA,57.142685,-2.342678,NA,NA,0,"3 V",30,15,NA,NA,";",2023-03-12 10:29:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-12,"10:44","//maps.google.com/maps?q=57.142735000000,-2.342743333333",NA,NA,57.142735,-2.342743,NA,NA,0,"3 V",30,15,NA,NA,";",2023-03-12 10:44:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-12,"10:59","//maps.google.com/maps?q=57.142946666667,-2.342593333333",NA,NA,57.142947,-2.342593,NA,NA,0,"3.32 V",30,15,NA,NA,";",2023-03-12 10:59:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-12,"12:00","//maps.google.com/maps?q=57.144343333333,-2.343605000000",NA,NA,57.144343,-2.343605,NA,NA,0,"3 V",30,8,NA,NA,";",2023-03-12 12:00:01,"F",1670,"Aberdeenshire","roe"
